Player,Team,Score,Age
Florian Thauvin,Udinese,59.59261029655163,31
Jón Dagur Þorsteinsson,OH Leuven,58.77159787183635,25
Haji Wright,Coventry City,58.6032935069681,26
Sheraldo Becker,Union Berlin,58.13601467231878,29
Viktor Gyökeres,Sporting CP,57.97022622476644,25
Samuel Grandsir,Le Havre,57.47573188392972,27
Mustapha Bundu,Plymouth Argyle,57.3283498550143,27
Kylian Mbappé,Paris S-G,57.19744055462858,25
Tarik Tissoudali,Gent,57.07927786669142,31
Mama Samba Baldé,Lyon,56.79759696271105,28
Mickaël Biron,RWD Molenbeek,56.749439315591,26
Rajiv van La Parra,Almere City,56.687363028766704,32
Duncan Watmore,Millwall,56.5332523301019,30
Federico Chiesa,Juventus,56.52081149785089,26
Sava Petrov,Vizela,56.31533400621622,25
Paulo Dybala,Roma,55.97790841311413,30
Emmanuel Dennis,Watford,55.9266715917668,26
Regan Charles-Cook,Eupen,55.80077806444947,27
Charles-Andréas Brym,Sparta R'dam,55.171187250802376,25
Antonio Puertas,Granada,55.141268941315865,32
