Player,Team,Score,Age
Brahima Diarra,Huddersfield,59.510645621415726,20
Rodrigo Varanda,América (MG),59.36806879491587,20
Facundo Farías,Colón,59.03592466658676,20
Endrick,Palmeiras,57.91859818751562,16
Sinclair Armstrong,QPR,56.80353752214241,20
Kenan Yıldız,Juventus,53.33429042652822,18
Vitor Roque,Ath Paranaense,52.629788922942765,17
Renato Marques,América (MG),50.22176343243832,19
Norman Bassette,Mechelen,50.08668171165583,19
Ivo Mammini,Gimnasia ELP,49.338566144443895,19
Loum Tchaouna,Salernitana,48.65232425691533,20
George Ilenikhena,Antwerp,46.61504040414244,17
Juan Santos,São Paulo,46.32742079706881,20
John Kennedy,Fluminense,46.269013228811666,20
Jerónimo Domina,CA Unión,45.94864463509861,17
Santiago Castro,Vélez Sarsfield,45.46995487727808,18
Lucas Stassin,Westerlo,45.41727208419357,19
Marcos Leonardo,Santos,45.27493573632699,19
Samuel Omorodion,Alavés,45.087993117414015,19
Lequincio Zeefuik,Volendam,44.992414846960344,19
