Player,Team,Score,Age
Florian Thauvin,Udinese,59.59261029655163,31
Sheraldo Becker,Union Berlin,58.13601467231878,29
Tarik Tissoudali,Gent,57.07927786669142,31
Rajiv van La Parra,Almere City,56.687363028766704,32
Duncan Watmore,Millwall,56.5332523301019,30
Paulo Dybala,Roma,55.97790841311413,30
Antonio Puertas,Granada,55.141268941315865,32
Lucas Melano,Sarmiento,53.36574807251923,29
Mats Seuntjens,Utrecht,53.02833850690081,32
Enner Valencia,Internacional,52.12020637326546,33
Hulk,Atlético Mineiro,51.89293445476555,36
Alassane Pléa,M'Gladbach,51.70460352009045,31
Ricardo Centurión,Barracas Central,51.66319822229837,30
Felipe Azevedo,América (MG),51.51473658532514,36
Lucas Ocampos,Sevilla,51.36764344426608,29
José Luis Morales,Villarreal,50.991786259731555,36
Ihlas Bebou,Hoffenheim,50.78662216550698,29
Harry Cornick,Bristol City,50.517705737850086,29
Jorge Benítez,Colón,49.22897668723564,30
Michail Antonio,West Ham,49.18430234129627,34
