player,team,league,poacher_score,outlet_score,deep_lying_score,dribbler_score,creator_score,target_man_score,age
Hwang Hee-chan,Wolves,ENG-Premier League,68.73960275462781,54.269770862798026,45.86859153859147,69.83201810405357,70.08439564879578,38.8686013543043,28
Matheus Cunha,Wolves,ENG-Premier League,59.35579276728099,77.62324385639306,58.180581148101176,96.61358485588207,76.95999074639533,47.67843117153273,24
Kiké,Alavés,ESP-La Liga,77.44116202892141,67.42419679207264,42.01691148491326,56.73548548428546,72.96484028437924,75.64051054391896,34
Samuel Omorodion,Alavés,ESP-La Liga,81.00576348068222,74.59678435443513,36.43323778240039,67.91912345003529,58.95671190917543,77.78829765363379,19
Anthony Lozano,Almería,ESP-La Liga,41.46521674860841,67.48236506834422,60.663533481484045,49.13932432847714,11.575452574463728,69.7502173346212,30
Luis Javier Suárez,Almería,ESP-La Liga,80.9673107530534,91.4434929588338,51.06948087034948,83.95265511424986,63.12563959929617,55.2325922730199,26
Léo Baptistão,Almería,ESP-La Liga,51.601430748526354,58.40587756795864,71.55244831094313,49.76146903819647,62.20709176218071,74.313882528579,31
Gorka Guruzeta,Athletic Club,ESP-La Liga,64.69704057896634,37.15112102122186,60.09459761203107,31.472476507597058,71.79509296416228,79.62845769756939,27
Antoine Griezmann,Atlético Madrid,ESP-La Liga,51.49935701166408,24.88683620824837,73.49445028838144,52.607057449335024,82.39837036541041,33.77490641405669,33
Memphis,Atlético Madrid,ESP-La Liga,74.99518199429144,43.88545875415904,58.38586430230704,62.517474513023366,79.64741393434117,33.73738535944496,30
Álvaro Morata,Atlético Madrid,ESP-La Liga,80.62319397005405,45.576172393387886,49.468586965281524,45.742176495576054,54.52057505983671,63.681242071606725,31
Ángel Correa,Atlético Madrid,ESP-La Liga,77.91640667813155,42.91034897370311,55.02946935031734,64.98855968512632,86.53234468204525,28.05877699147881,29
Robert Lewandowski,Barcelona,ESP-La Liga,63.959205372894225,50.69138411395391,44.526468946376575,47.466453856712846,69.97406134043638,64.31712711181918,35
Willian José,Betis,ESP-La Liga,57.63564166569605,21.50848863514347,70.61009762802696,16.651872892117122,70.08962854783346,66.05719178668798,32
Anastasios Douvikas,Celta Vigo,ESP-La Liga,79.30242787367033,64.55395597545342,35.47397911095814,49.2746142326827,43.361148634380655,74.20559928828425,24
Iago Aspas,Celta Vigo,ESP-La Liga,50.19729951128863,43.91939397598302,80.25109192780346,68.90505559125559,100.0,28.332187828280304,36
Jørgen Strand Larsen,Celta Vigo,ESP-La Liga,67.51083050574171,58.95387929317191,42.26521804727407,58.03879714334927,65.72644388433407,76.57923958064333,24
Chris Ramos,Cádiz,ESP-La Liga,60.84858688037029,65.65286925258499,28.553062323938576,56.23222723794784,42.954999804668894,93.28124143917435,27
Juanmi,Cádiz,ESP-La Liga,51.54338723926073,18.77134093780739,78.55476608047753,19.251797259624944,80.83909343290637,46.82700953289092,30
