Player,Team,Score,Age
Rodrigo Varanda,América (MG),56.69191227360697,20
Kenan Yıldız,Juventus,54.49008431320724,18
Harry Leonard,Blackburn,54.10406409117407,20
Mexx Meerdink,Vitesse,53.43696272073744,20
Mason Burstow,Sunderland,52.72602032782966,20
Juan Santos,São Paulo,51.942002539444765,20
Marcos Leonardo,Santos,51.84616657422544,19
Facundo Farías,Colón,49.81463346795126,20
Lucas Stassin,Westerlo,49.71930781184116,19
Endrick,Palmeiras,49.50233541066562,16
Renato Marques,América (MG),48.16112760349938,19
Oumar Diakité,Reims,47.85363521901143,20
Oscar Vilhelmsson,Darmstadt 98,47.80961848225204,20
Benjamin Šeško,RB Leipzig,47.00611718018117,20
Brahima Diarra,Huddersfield,46.57854386869211,20
Loum Tchaouna,Salernitana,46.373825412098604,20
Vitor Roque,Ath Paranaense,46.19602244138774,17
Eli Junior Kroupi,Lorient,45.63828563017638,17
Jerónimo Domina,CA Unión,45.4765677510758,17
George Ilenikhena,Antwerp,45.4643049116629,17
