player,team,league,Progression Score,Defensive Score,Attacking Score,age
Adrià Pedrosa,Sevilla,ESP-La Liga,49.572250112316404,70.97026148867546,72.1089769347523,26
Marcos Acuña,Sevilla,ESP-La Liga,75.9937133379053,50.94488604049554,72.593805366685,32
Jesus Vazquez,Valencia,ESP-La Liga,27.33265401600946,45.50445617244201,33.274736030157825,21
José Luis Gayà,Valencia,ESP-La Liga,69.38440245768314,67.25815079302696,78.40560599050255,28
Alberto Moreno,Villarreal,ESP-La Liga,69.24486062723444,55.71284999628793,68.25749618326759,31
Alfonso Pedraza,Villarreal,ESP-La Liga,55.31791638552984,47.73851119097093,74.44997660288843,28
Kristian Arnstad,Anderlecht,BEL-Pro League,32.194989073081395,35.944052356863196,38.260762183099146,20
Ludwig Augustinsson,Anderlecht,BEL-Pro League,56.46291847772944,65.1245687841668,75.66915839367188,30
Moussa N'Diaye,Anderlecht,BEL-Pro League,56.758314054016445,50.79679471292765,38.78211192462246,21
Owen Wijndal,Antwerp,BEL-Pro League,66.35029899923282,70.21783026344677,67.30063210444347,24
Flávio Nazinho,Cercle Brugge,BEL-Pro League,38.416638613076174,68.58970175075196,64.39143128120239,20
Senna Miangue,Cercle Brugge,BEL-Pro League,38.35053260025556,56.98910163740779,52.35844047427888,27
Bjorn Meijer,Club Brugge,BEL-Pro League,55.69318390487946,66.29329719327079,71.83258072398968,21
Maxim De Cuyper,Club Brugge,BEL-Pro League,71.18289854821194,86.00226128889442,97.01687951995393,23
Gerardo Arteaga,Genk,BEL-Pro League,64.5033036093707,59.21829970803735,51.868151308013836,25
Joris Kayembe,Genk,BEL-Pro League,80.68408467353319,70.10733630126605,65.29301121939736,29
Daam Foulon,Mechelen,BEL-Pro League,67.74078403800814,85.82270645414725,75.23163329973872,25
Tayo Adaramola,RWD Molenbeek,BEL-Pro League,43.091919741585784,38.54018636887873,47.23910965143631,20
Jordan Bos,Westerlo,BEL-Pro League,51.284954964905594,71.4831603597633,75.99130444855035,21
Tuur Rommens,Westerlo,BEL-Pro League,38.57074528275501,67.3317183475279,50.42621887187406,21
Charalambos Lykogiannis,Bologna,ITA-Serie A,49.757860297134165,41.854041188332374,48.61261787105329,30
Victor Bernth Kristiansen,Bologna,ITA-Serie A,65.38163589583375,76.22876582799987,65.32754633195552,21
Paulo Azzi,Cagliari,ITA-Serie A,61.41116687291284,45.66808800508717,56.69761231804994,29
Tommaso Augello,Cagliari,ITA-Serie A,74.65498829710602,63.3503159465441,78.50725972382206,29
Giuseppe Pezzella,Empoli,ITA-Serie A,71.02756837983588,49.30223057072589,57.778547497714584,26
Liberato Cacace,Empoli,ITA-Serie A,70.03204181469218,66.56085771074794,66.70930148606291,23
Simone Bastoni,Empoli,ITA-Serie A,36.253782712155974,23.380274992914966,53.749806134384826,27
Cristiano Biraghi,Fiorentina,ITA-Serie A,72.36855071160213,81.49134063085022,80.77147055590231,31
Fabiano Parisi,Fiorentina,ITA-Serie A,73.9720450658234,73.6537273369887,65.65735772150548,23
Emanuele Valeri,Frosinone,ITA-Serie A,56.06275014476155,44.88622772381844,72.05616677260114,25
Riccardo Marchizza,Frosinone,ITA-Serie A,67.2107916390856,37.309214059891474,46.73687367824529,26
Juan David Cabal,Hellas Verona,ITA-Serie A,81.76808894589409,71.6916414278327,58.086376580613866,23
Adam Marušić,Lazio,ITA-Serie A,85.7231863246285,79.42230008895925,56.007850055384644,31
Elseid Hysaj,Lazio,ITA-Serie A,75.4101939008579,57.167781096586154,40.541548848079465,30
Luca Pellegrini,Lazio,ITA-Serie A,62.31538654978637,40.56036979226064,25.428762703702496,25
Antonino Gallo,Lecce,ITA-Serie A,86.00191125635774,76.10065304584889,92.06192698379928,24
Patrick Dorgu,Lecce,ITA-Serie A,57.50338126037573,60.60459368191379,65.99730368962027,19
Theo Hernández,Milan,ITA-Serie A,96.05589726869007,72.63477250237355,92.00327059637446,26
Mathías Olivera,Napoli,ITA-Serie A,77.56647903491525,77.2184354510669,58.863729675177204,26
Mário Rui,Napoli,ITA-Serie A,85.40994810706839,63.0025398200917,64.07480230738908,32
Angeliño,Roma,ITA-Serie A,45.00140606259566,43.65473741873308,65.10309514376407,27
Josh Doig,Sassuolo,ITA-Serie A,40.619896709369,60.006395161747406,52.505546212985166,22
Matías Viña,Sassuolo,ITA-Serie A,76.59174439647626,54.01172433608422,61.51639167247026,26
Iago,Augsburg,GER-Bundesliga,59.881028884946005,72.47477900649265,78.06862183495053,27
Mads Pedersen,Augsburg,GER-Bundesliga,71.7834201802962,72.98422593758464,69.89718114736276,27
Alphonso Davies,Bayern Munich,GER-Bundesliga,75.27654427693585,84.63507541451874,81.19673000511844,23
Raphaël Guerreiro,Bayern Munich,GER-Bundesliga,75.45643960888,41.88137029446144,73.33582671014716,30
Bernardo,Bochum,GER-Bundesliga,67.70258893177059,100.0,62.43253778969502,29
Ian Maatsen,Dortmund,GER-Bundesliga,72.03260899088274,63.593429597325155,61.2665390732468,22
Ramy Bensebaini,Dortmund,GER-Bundesliga,59.61790528014884,68.47253355833573,49.91481074727034,29
Christian Günter,Freiburg,GER-Bundesliga,50.18361928065932,36.5491961165574,70.95470004404632,31
Jordy Makengo,Freiburg,GER-Bundesliga,55.01960564759205,52.269562638625345,43.51858097583609,22
Noah Weißhaupt,Freiburg,GER-Bundesliga,33.86068499936095,29.167868034673326,75.9091612956898,22
Jonas Föhrenbach,Heidenheim,GER-Bundesliga,95.65807399779132,74.36272388754905,69.03044757761893,28
Dominique Heintz,Köln,GER-Bundesliga,71.0656026840369,31.18866068200068,38.233787099402186,30
Leart Paqarada,Köln,GER-Bundesliga,71.74412389353945,52.640463808214456,78.4116371188229,29
Max Finkgräfe,Köln,GER-Bundesliga,63.14001880490454,77.28791880901736,73.5960852743698,20
David Raum,RB Leipzig,GER-Bundesliga,73.71772734636222,91.23022519351548,100.0,26
Maximilian Mittelstädt,Stuttgart,GER-Bundesliga,70.42030680410556,96.47857086087419,82.72570394985748,27
Rogério,Wolfsburg,GER-Bundesliga,65.12564072119994,42.88286414426987,53.24099061529193,26
Bradley Locko,Brest,FRA-Ligue 1,74.08780127095062,90.17628149494809,74.21961171797614,21
Christopher Operi,Le Havre,FRA-Ligue 1,51.04283906639242,82.51123744707552,89.52450673851887,26
Gabriel Gudmundsson,Lille,FRA-Ligue 1,24.72910068851595,61.36390021383886,64.29545624843088,24
