Player,Team,Score,Age
George Ilenikhena,Antwerp,61.383571638713796,17
Mohamed Sankoh,Heracles Almelo,58.326982936107946,20
Vitor Roque,Ath Paranaense,53.537628496327194,17
Samuel Omorodion,Alavés,51.631313132737475,19
Benjamin Šeško,RB Leipzig,50.78282112112395,20
Oumar Diakité,Reims,47.52535060947913,20
Romeo Vermant,Westerlo,47.242848078834285,20
Lucas Stassin,Westerlo,47.13205733576598,19
Endrick,Palmeiras,47.078862426771835,16
Thiago Borbas,Bragantino,46.788344793484505,20
Bailey-Tye Cadamarteri,Sheffield Weds,46.6788817050735,18
Richie Omorowa,Excelsior,46.562665485987004,20
Harry Leonard,Blackburn,46.27475372340779,20
Norman Bassette,Mechelen,46.253803533118855,19
Alejo Véliz,Rosario Cent,45.55277321280139,19
Marcos Leonardo,Santos,45.055408889491346,19
Sinclair Armstrong,QPR,44.190040707852184,20
Vivaldo Semedo,Volendam,42.94309164974395,19
Renato Marques,América (MG),42.843703750492175,19
Eli Junior Kroupi,Lorient,42.81812916280848,17
