Player,Team,Score,Age
Michail Antonio,West Ham,57.7924893840328,34
Rajiv van La Parra,Almere City,57.74919573451325,32
Harry Cornick,Bristol City,57.08204573663546,29
Takuma Asano,Bochum,56.211580663784986,29
Duncan Watmore,Millwall,54.49871540344991,30
Enner Valencia,Internacional,54.07052667863519,33
Antonio Puertas,Granada,52.54615740641618,32
Andrés Chávez,Banfield,52.22288574417773,31
Duván Zapata,Torino,52.14182559332185,33
Karim Onisiwo,Mainz 05,52.10469483478481,32
Luís Leal,Arsenal,51.67581692893259,35
Lucas Melano,Sarmiento,50.84419986555036,29
Andrea Belotti,Roma,50.61663377857328,30
Florian Thauvin,Udinese,49.11194929302453,31
Sheraldo Becker,Union Berlin,48.73475409771625,29
Zé Luís,Farense,48.176203572066804,33
Cyle Larin,Mallorca,47.897375231087565,29
Diego Costa,Botafogo (RJ),47.82077417282737,34
Nahki Wells,Bristol City,47.751462381845435,33
Lucas Ocampos,Sevilla,47.08075259229035,29
