player,team,league,deep_lying_playmaker_score,ball_winner_score,dribbler_score,final_third_score,age
Jóhann Berg Guðmundsson,Burnley,ENG-Premier League,49.68698870235994,36.680197756810486,37.08508263189178,69.27092983557318,32
Luca Koleosho,Burnley,ENG-Premier League,10.76935505721873,18.038876512113752,77.26878637661414,86.66031972170161,18
Sander Berge,Burnley,ENG-Premier League,82.12668252229916,81.98338887253148,84.18984865699508,47.53414669616511,25
Wilson Odobert,Burnley,ENG-Premier League,42.531302152613016,51.2434373990286,88.94472090839335,90.48505861314425,18
Adam Wharton,Crystal Palace,ENG-Premier League,64.05918165336102,64.4576925878227,44.42179878264259,54.93753615185223,19
Jefferson Lerma,Crystal Palace,ENG-Premier League,74.64157205767829,69.5997339232166,57.91493148742533,47.13537707687526,28
Will Hughes,Crystal Palace,ENG-Premier League,61.400046014496446,71.21532533789879,47.57217328905321,41.64640719162461,28
Amadou Onana,Everton,ENG-Premier League,76.54789469885874,72.79187832464764,67.21881032641033,53.373210984127276,21
André Gomes,Everton,ENG-Premier League,41.38734969340058,21.442128775268337,36.27611893626406,50.00670211963266,30
Arnaut Danjuma,Everton,ENG-Premier League,2.180727030137356,8.245720650095791,60.04278599299121,99.10580306841248,26
Dwight McNeil,Everton,ENG-Premier League,67.41764006738687,73.5624875488708,81.91697951308198,78.94960937778711,23
Idrissa Gana Gueye,Everton,ENG-Premier League,67.57293479596164,75.3624860019686,68.16248880884622,47.05681863710954,33
Jack Harrison,Everton,ENG-Premier League,49.3110517517202,61.3615288816024,74.50530965807334,78.81139015445255,26
James Garner,Everton,ENG-Premier League,72.8626018451609,84.91411335985855,75.15221954573947,61.82789782856838,22
Alexis Mac Allister,Liverpool,ENG-Premier League,81.76818684710616,97.23129446723236,68.79577039749918,55.85344211692288,24
Curtis Jones,Liverpool,ENG-Premier League,47.46829470869509,55.360182547726964,56.576988697209615,58.39673033674815,22
Dominik Szoboszlai,Liverpool,ENG-Premier League,69.39745868078569,74.5365972468677,78.60333030758326,70.33999153505556,22
Harvey Elliott,Liverpool,ENG-Premier League,65.43128110862185,57.502828907424266,66.65764055780369,75.2889904490247,20
Ryan Gravenberch,Liverpool,ENG-Premier League,45.99110078864338,64.00462611157558,60.043527869452575,71.7734279660726,21
Wataru Endo,Liverpool,ENG-Premier League,64.52026075092743,78.67148995986206,41.75558761255802,34.985944861065306,30
Albert Sambi Lokonga,Luton Town,ENG-Premier League,67.80052895757397,53.803621781121514,73.38762414827234,38.87625828716775,23
