league,season,team,players_used,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url,League,season,players_used,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,url,League,season,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,League,season,players_used,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,url,League,season,players_used,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,url,League,season,players_used,Poss,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,url,League,season,players_used,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,url,League
BEL-Pro League,2324,Club Brugge,29,30,60,471,169,35.9,15.7,5.63,0.11,0.31,15.8,10,8,10,60.1,52.2,0.11,-0.1,-0.2,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League,2324,29,30,837,27.9,617,70,61,53,26,10,97,3.23,65,5,11,8,8,0,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League,2324,29,30,481,320,195,207,79,238,469,50.7,231,334,72,262,263,744,437,4,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League,2324,29,30,58,3,3,323,312,49,687,263,320,7,3,0,1643,481,374,56.3,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League,2324,29,30,13826,17075,81.0,260027,90469,5353,6265,85.4,6305,7303,86.3,1741,2682,64.9,39,42.0,44.4,-3.0,363,1184,319,88,1552,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League,2324,29,56.9,30,20375,1615,5568,9707,5284,908,20365,598,281,47.0,275,46.0,14684,87286,38923,658,495,197,468,290,13683,1535,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League,2324,29,30,17075,15521,1505,358,36,122,687,681,196,148,24,0,13826,49,318,/en/squads/f1e6c5f1/Club-Brugge-Stats,BEL-Pro League
BEL-Pro League,2324,Eupen,26,30,24,297,95,32.0,9.9,3.17,0.08,0.24,18.4,8,1,1,28.9,28.1,0.1,-4.9,-5.1,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League,2324,26,30,508,16.93,371,47,25,34,19,12,41,1.37,32,2,1,5,1,0,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League,2324,26,30,543,342,292,190,61,258,549,47.0,291,388,125,263,320,863,729,17,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League,2324,26,30,56,2,1,392,306,74,481,320,342,1,6,4,1520,376,487,43.6,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League,2324,26,30,10219,13665,74.8,188929,69525,4021,4860,82.7,4634,5618,82.5,1226,2417,50.7,18,21.4,19.2,-3.4,217,722,157,48,976,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League,2324,26,44.7,30,17167,2293,6572,7497,3270,461,17166,433,184,42.5,220,50.8,11221,66517,30325,410,338,101,465,249,10116,967,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League,2324,26,30,13665,12020,1571,347,27,90,481,674,133,53,50,0,10219,74,320,/en/squads/5809ddc3/Eupen-Stats,BEL-Pro League
BEL-Pro League,2324,Genk,26,30,49,491,162,33.0,16.37,5.4,0.1,0.29,16.0,9,2,5,59.3,55.2,0.12,-10.3,-8.2,/en/squads/1e972a99/Genk-Stats,BEL-Pro League,2324,26,30,872,29.07,636,73,64,55,32,12,79,2.63,52,3,8,14,2,0,/en/squads/1e972a99/Genk-Stats,BEL-Pro League,2324,26,30,499,309,223,192,84,208,417,49.9,209,335,78,257,287,786,558,7,/en/squads/1e972a99/Genk-Stats,BEL-Pro League,2324,26,30,64,6,3,365,354,75,564,287,309,4,3,0,1662,465,449,50.9,/en/squads/1e972a99/Genk-Stats,BEL-Pro League,2324,26,30,11988,15285,78.4,224807,84351,4643,5529,84.0,5379,6345,84.8,1513,2509,60.3,30,43.0,43.4,-13.0,384,1195,310,74,1597,/en/squads/1e972a99/Genk-Stats,BEL-Pro League,2324,26,54.0,30,18819,1911,5385,8373,5260,888,18814,649,311,47.9,301,46.4,12890,79214,35381,557,427,203,549,317,11848,1579,/en/squads/1e972a99/Genk-Stats,BEL-Pro League,2324,26,30,15285,13636,1574,390,31,96,564,749,163,50,78,0,11988,75,303,/en/squads/1e972a99/Genk-Stats,BEL-Pro League
BEL-Pro League,2324,Gent,32,30,50,435,161,37.0,14.5,5.37,0.11,0.29,17.3,7,4,6,49.7,45.0,0.11,0.3,1.0,/en/squads/51e5a603/Gent-Stats,BEL-Pro League,2324,32,30,762,25.4,576,55,37,49,32,13,79,2.63,50,8,4,10,6,1,/en/squads/51e5a603/Gent-Stats,BEL-Pro League,2324,32,30,582,377,271,236,75,297,552,53.8,255,333,102,231,326,908,570,9,/en/squads/51e5a603/Gent-Stats,BEL-Pro League,2324,32,30,40,6,1,311,328,48,568,326,377,6,11,0,1715,513,496,50.8,/en/squads/51e5a603/Gent-Stats,BEL-Pro League,2324,32,30,12615,16233,77.7,245872,85051,4731,5736,82.5,5686,6720,84.6,1834,2980,61.5,30,33.9,32.5,-3.9,321,1118,320,74,1408,/en/squads/51e5a603/Gent-Stats,BEL-Pro League,2324,32,54.4,30,19766,1733,5530,9192,5249,847,19760,548,249,45.4,255,46.5,13433,79245,34879,613,544,180,462,285,12490,1385,/en/squads/51e5a603/Gent-Stats,BEL-Pro League,2324,32,30,16233,14654,1530,370,36,218,568,697,174,65,54,7,12615,49,350,/en/squads/51e5a603/Gent-Stats,BEL-Pro League
BEL-Pro League,2324,Kortrijk,36,30,22,299,85,28.4,9.97,2.83,0.07,0.24,18.2,14,2,2,25.6,24.6,0.08,-3.6,-4.6,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League,2324,36,30,506,16.87,351,47,35,33,31,9,32,1.07,22,3,3,2,2,0,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League,2324,36,30,553,325,332,181,40,258,512,50.4,254,395,126,269,328,881,835,12,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League,2324,36,30,63,2,1,323,324,41,531,328,325,1,2,4,1586,499,555,47.3,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League,2324,36,30,9321,12859,72.5,171522,69224,3776,4742,79.6,4033,5067,79.6,1123,2302,48.8,13,17.0,19.4,-4.0,201,766,183,68,999,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League,2324,36,43.1,30,16649,2188,5681,7412,3787,452,16647,587,286,48.7,256,43.6,10476,69191,28982,493,471,98,523,299,9214,989,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League,2324,36,30,12859,11274,1544,416,24,72,531,632,134,55,40,1,9321,41,300,/en/squads/77193015/Kortrijk-Stats,BEL-Pro League
BEL-Pro League,2324,Mechelen,30,30,37,379,133,35.1,12.63,4.43,0.09,0.26,18.3,6,3,4,42.4,39.4,0.11,-5.4,-5.4,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League,2324,30,30,674,22.47,535,52,27,35,16,9,68,2.27,50,4,3,6,5,0,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League,2324,30,30,509,304,276,176,57,280,530,52.8,250,357,135,222,301,810,642,4,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League,2324,30,30,48,0,0,303,286,64,565,301,304,3,4,1,1567,505,448,53.0,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League,2324,30,30,12523,15832,79.1,248419,85805,4257,5137,82.9,6299,7198,87.5,1686,2791,60.4,28,31.1,29.4,-3.1,289,1058,254,71,1287,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League,2324,30,51.0,30,19140,2105,6438,8600,4290,583,19136,433,213,49.2,200,46.2,13454,74755,33712,487,469,104,429,207,12411,1277,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League,2324,30,30,15832,14361,1407,314,30,124,565,604,143,60,47,0,12523,64,314,/en/squads/09f00144/Mechelen-Stats,BEL-Pro League
BEL-Pro League,2324,OH Leuven,29,30,34,335,106,31.6,11.17,3.53,0.09,0.28,17.9,8,4,5,33.7,29.8,0.09,0.3,0.2,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League,2324,29,30,575,19.17,399,68,30,32,35,11,55,1.83,35,9,3,1,6,1,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League,2324,29,30,475,272,254,160,61,222,435,51.0,213,377,114,263,266,741,715,8,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League,2324,29,30,77,2,1,362,330,58,521,266,272,5,8,2,1434,442,487,47.6,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League,2324,29,30,9017,12323,73.2,178104,69593,3291,4100,80.3,4196,5125,81.9,1295,2449,52.9,25,23.7,20.5,1.3,251,709,180,58,920,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League,2324,29,44.0,30,15761,2264,5778,6569,3613,545,15756,526,216,41.1,272,51.7,10098,62196,28189,404,320,99,475,203,8916,912,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League,2324,29,30,12323,10664,1601,430,18,95,521,663,159,64,61,1,9017,58,294,/en/squads/27e981a3/OH-Leuven-Stats,BEL-Pro League
BEL-Pro League,2324,RWD Molenbeek,38,30,31,282,107,37.9,9.4,3.57,0.11,0.28,15.8,8,1,1,33.5,32.8,0.12,-2.5,-2.8,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League,2324,38,30,448,14.93,327,33,37,28,12,11,51,1.7,42,2,2,4,1,0,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League,2324,38,30,504,342,289,169,46,242,488,49.6,246,380,121,259,318,822,860,9,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League,2324,38,30,65,6,4,368,278,58,403,318,342,0,15,2,1647,506,401,55.8,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League,2324,38,30,9229,12438,74.2,173942,69488,3581,4376,81.8,4129,5115,80.7,1161,2212,52.5,22,25.6,22.4,-3.6,191,692,168,44,930,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League,2324,38,43.0,30,16132,2275,6225,7154,2940,432,16131,564,251,44.5,280,49.6,10214,62036,26457,383,375,96,509,277,9048,862,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League,2324,38,30,12438,10941,1440,351,45,64,403,614,98,46,38,0,9229,57,246,/en/squads/e423ea45/RWD-Molenbeek-Stats,BEL-Pro League
BEL-Pro League,2324,Sint-Truiden,25,30,33,400,128,32.0,13.33,4.27,0.08,0.23,19.1,23,3,5,38.0,34.1,0.09,-5.0,-4.1,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League,2324,25,30,731,24.37,548,45,48,38,39,13,56,1.87,39,1,5,6,3,2,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League,2324,25,30,447,278,219,178,50,222,439,50.6,217,315,104,211,337,784,523,6,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League,2324,25,30,46,1,0,282,336,60,485,337,278,3,5,0,1617,420,379,52.6,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League,2324,25,30,15082,18028,83.7,289965,92556,5488,6263,87.6,7325,8112,90.3,1900,2928,64.9,21,27.4,27.5,-6.4,314,1024,248,65,1259,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League,2324,25,56.5,30,21334,2542,7726,9815,4016,599,21329,604,297,49.2,269,44.5,15986,92952,41955,568,508,145,485,248,14985,1253,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League,2324,25,30,18028,16643,1325,385,54,186,485,529,152,91,18,1,15082,60,260,/en/squads/80328a1e/Sint-Truiden-Stats,BEL-Pro League
BEL-Pro League,2324,Standard Liège,34,30,32,335,108,32.2,11.17,3.6,0.09,0.28,17.3,10,2,4,32.0,29.0,0.09,0.0,1.0,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League,2324,34,30,574,19.13,396,54,48,34,29,13,51,1.7,33,5,3,7,2,1,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League,2324,34,30,519,326,251,219,49,239,460,52.0,221,327,99,228,324,843,670,6,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League,2324,34,30,55,4,2,336,366,63,534,324,326,2,7,0,1591,479,472,50.4,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League,2324,34,30,11421,14826,77.0,213442,75622,4444,5288,84.0,5276,6237,84.6,1353,2572,52.6,23,21.4,24.7,1.6,240,923,219,64,1151,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League,2324,34,50.3,30,18381,2087,6121,8425,4049,609,18377,617,310,50.2,258,41.8,12555,76530,33399,553,433,138,571,318,11314,1140,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League,2324,34,30,14826,13215,1548,425,46,86,534,668,130,59,50,1,11421,63,289,/en/squads/33c6b26e/Standard-Liege-Stats,BEL-Pro League
BEL-Pro League,2324,Union SG,26,30,63,476,171,35.9,15.87,5.7,0.11,0.31,16.6,14,10,11,58.3,49.8,0.11,4.7,3.2,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League,2324,26,30,824,27.47,560,90,52,56,47,19,110,3.67,71,6,8,8,13,4,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League,2324,26,30,619,412,261,258,100,330,667,49.5,337,404,77,327,349,968,532,11,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League,2324,26,30,69,2,1,366,340,57,563,349,412,10,3,0,1873,490,458,51.7,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League,2324,26,30,11085,14494,76.5,207244,84399,4367,5330,81.9,4929,5992,82.3,1406,2409,58.4,42,41.0,38.8,1.0,367,1044,286,60,1462,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League,2324,26,49.6,30,18435,1581,5351,8426,4892,845,18424,630,260,41.3,326,51.7,12217,75208,34675,627,470,199,570,298,10959,1444,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League,2324,26,30,14494,12952,1485,389,39,54,563,678,179,108,43,0,11085,57,298,/en/squads/e14f61a5/Union-SG-Stats,BEL-Pro League
BEL-Pro League,2324,Westerlo,32,30,41,358,112,31.3,11.93,3.73,0.09,0.29,16.3,16,8,8,40.4,34.2,0.1,0.6,-1.2,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League,2324,32,30,627,20.9,455,48,35,48,35,6,65,2.17,45,0,6,6,7,1,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League,2324,32,30,526,345,263,207,56,249,501,49.7,252,398,111,287,333,859,641,12,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League,2324,32,30,64,2,1,335,306,52,499,333,345,6,3,2,1552,427,400,51.6,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League,2324,32,30,10739,14001,76.7,203777,72800,4113,5026,81.8,4897,5816,84.2,1403,2427,57.8,23,22.9,23.7,0.1,252,837,208,56,1168,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League,2324,32,47.3,30,17488,2134,6091,7825,3807,497,17480,535,258,48.2,239,44.7,11754,72923,32542,477,392,107,502,256,10523,1117,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League,2324,32,30,14001,12439,1510,360,22,99,499,693,125,50,51,0,10739,52,309,/en/squads/57b6cfb8/Westerlo-Stats,BEL-Pro League
ITA-Serie A,2324,Atalanta,28,36,67,510,188,36.9,14.17,5.22,0.12,0.34,16.0,6,4,4,53.6,50.5,0.1,13.4,12.5,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A,2324,28,36,916,25.44,692,76,52,52,31,13,119,3.31,96,9,2,6,5,1,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A,2324,28,36,583,347,263,233,87,280,575,48.7,295,463,116,347,323,906,579,7,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A,2324,28,36,75,1,1,463,349,57,678,323,347,3,9,1,1925,604,473,56.1,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A,2324,28,36,15293,19022,80.4,267498,95169,6974,7961,87.6,6578,7559,87.0,1398,2522,55.4,54,41.0,36.7,13.0,411,1167,354,105,1659,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A,2324,28,51.3,36,22989,2110,7121,10179,5880,861,22985,585,269,46.0,256,43.8,12498,65090,32211,673,481,157,589,360,15163,1640,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A,2324,28,36,19022,17282,1683,414,38,121,678,732,204,101,65,1,15293,57,363,/en/squads/922493f3/Atalanta-Stats,ITA-Serie A
ITA-Serie A,2324,Bologna,27,36,49,451,153,33.9,12.53,4.25,0.1,0.29,18.1,19,4,5,45.5,41.6,0.09,3.5,3.4,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A,2324,27,36,792,22.0,593,59,55,48,29,8,76,2.11,50,1,8,11,6,0,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A,2324,27,36,602,367,287,254,61,291,556,52.3,265,401,106,295,248,850,656,13,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A,2324,27,36,82,2,2,439,427,49,475,248,367,3,7,1,1704,389,395,49.6,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A,2324,27,36,18024,21256,84.8,297123,95324,8891,9706,91.6,7280,8081,90.1,1320,2297,57.5,30,30.4,24.2,-0.4,342,1206,247,50,1402,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A,2324,27,57.6,36,25097,2455,8199,11976,5141,692,25092,653,282,43.2,314,48.1,15026,80867,40184,630,463,147,517,286,17872,1391,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A,2324,27,36,21256,19515,1692,488,32,128,475,720,156,94,49,1,18024,49,399,/en/squads/1d8099f8/Bologna-Stats,ITA-Serie A
ITA-Serie A,2324,Cagliari,28,37,39,428,121,28.3,11.57,3.27,0.08,0.29,17.7,15,4,6,41.0,36.5,0.09,-2.0,-1.5,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A,2324,28,37,760,20.54,531,77,40,53,42,17,67,1.81,41,5,6,10,3,2,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A,2324,28,37,518,301,262,194,62,251,504,49.8,253,362,110,252,259,777,794,12,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A,2324,28,37,75,4,2,451,405,60,827,259,301,3,4,3,1734,562,598,48.4,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A,2324,28,37,10524,14420,73.0,200837,79897,4350,5118,85.0,4571,5664,80.7,1405,2900,48.4,28,27.3,23.7,0.7,316,842,250,120,1086,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A,2324,28,42.2,37,18198,2139,6375,7780,4236,644,18192,500,229,45.8,215,43.0,9010,49760,25224,518,332,105,529,333,10397,1074,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A,2324,28,37,14420,12506,1854,491,33,132,827,780,171,45,108,2,10524,60,306,/en/squads/c4260e09/Cagliari-Stats,ITA-Serie A
ITA-Serie A,2324,Empoli,34,37,24,396,105,26.5,10.7,2.84,0.05,0.18,19.0,22,5,5,33.6,29.8,0.08,-9.6,-10.8,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A,2324,34,37,689,18.62,457,83,32,47,57,13,42,1.14,26,3,3,4,6,0,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A,2324,34,37,605,368,305,223,77,299,554,54.0,255,449,151,298,253,858,825,8,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A,2324,34,37,84,1,1,506,502,79,655,253,368,4,8,1,1586,504,619,44.9,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A,2324,34,37,11363,15053,75.5,205989,80469,4900,5682,86.2,4981,5925,84.1,1207,2608,46.3,17,23.6,23.0,-6.6,283,806,199,73,1027,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A,2324,34,44.3,37,19109,2453,7101,8072,4131,615,19104,561,219,39.0,275,49.0,10227,55281,26879,506,344,136,533,296,11278,1021,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A,2324,34,37,15053,13095,1879,536,34,52,655,783,172,51,90,0,11363,79,324,/en/squads/a3d88bd8/Empoli-Stats,ITA-Serie A
ITA-Serie A,2324,Fiorentina,29,36,54,497,163,32.8,13.81,4.53,0.1,0.31,17.6,13,3,7,48.6,43.0,0.09,5.4,8.0,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A,2324,29,36,876,24.33,656,74,37,57,40,12,95,2.64,64,10,8,9,3,1,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A,2324,29,36,534,306,224,219,91,263,480,54.8,217,373,80,293,221,755,473,8,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A,2324,29,36,74,0,0,436,434,52,723,221,306,5,9,0,1646,604,582,50.9,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A,2324,29,36,15421,19023,81.1,292800,98234,6056,6843,88.5,7159,8146,87.9,1920,3155,60.9,36,32.9,37.5,3.1,380,1278,365,100,1586,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A,2324,29,57.6,36,22508,1986,6354,10299,6050,874,22501,593,270,45.5,256,43.2,13480,71469,34330,595,525,153,507,317,15231,1571,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A,2324,29,36,19023,17242,1729,517,48,138,723,758,190,43,100,1,15421,52,338,/en/squads/421387cf/Fiorentina-Stats,ITA-Serie A
ITA-Serie A,2324,Frosinone,34,37,44,439,142,32.3,11.86,3.84,0.08,0.25,19.1,16,8,10,44.9,37.1,0.09,-0.9,-1.1,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A,2324,34,37,767,20.73,550,80,50,37,37,13,75,2.03,46,10,3,4,9,3,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A,2324,34,37,529,312,234,222,73,247,510,48.4,263,429,142,287,237,766,772,13,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A,2324,34,37,68,2,1,382,430,48,506,237,312,8,8,2,1737,502,597,45.7,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A,2324,34,37,13424,17131,78.4,221394,85101,6599,7472,88.3,5343,6382,83.7,1059,2275,46.5,29,29.8,24.5,-0.8,337,934,276,68,1289,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A,2324,34,49.5,37,21180,2535,7211,9365,4788,681,21170,678,287,42.3,332,49.0,10982,58453,28303,547,398,143,559,334,13286,1271,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A,2324,34,37,17131,15174,1909,512,50,54,506,780,202,68,52,4,13424,48,338,/en/squads/6a7ad59d/Frosinone-Stats,ITA-Serie A
ITA-Serie A,2324,Genoa,33,37,41,382,115,30.1,10.32,3.11,0.09,0.31,17.4,18,5,6,34.0,29.3,0.08,7.0,6.7,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A,2324,33,37,681,18.41,439,100,27,56,52,7,71,1.92,49,3,5,10,4,0,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A,2324,33,37,603,340,307,235,61,280,564,49.6,284,454,157,297,322,925,780,11,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A,2324,33,37,78,3,3,439,395,45,600,322,340,3,4,1,1600,595,521,53.3,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A,2324,33,37,11869,15517,76.5,215408,83543,5066,5859,86.5,5060,6020,84.1,1346,2656,50.7,25,21.7,23.4,3.3,291,848,218,75,1057,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A,2324,33,44.5,37,19452,2483,7104,8403,4105,562,19446,436,188,43.1,192,44.0,10451,54981,26884,454,359,80,561,285,11728,1038,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A,2324,33,37,15517,13779,1693,476,17,70,600,681,139,49,71,3,11869,45,301,/en/squads/658bf2de/Genoa-Stats,ITA-Serie A
ITA-Serie A,2324,Hellas Verona,34,36,34,400,133,33.3,11.11,3.69,0.08,0.23,19.0,12,3,7,34.1,28.5,0.07,-0.1,2.5,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A,2324,34,36,714,19.83,493,88,36,42,38,17,61,1.69,38,6,5,4,4,4,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A,2324,34,36,597,368,295,234,68,281,559,50.3,278,390,126,264,281,878,765,14,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A,2324,34,36,85,6,2,505,425,57,682,281,368,4,2,1,1750,719,607,54.2,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A,2324,34,36,10114,13973,72.4,201730,82009,3888,4756,81.7,4454,5460,81.6,1547,2950,52.4,25,23.5,20.6,1.5,303,909,194,87,1062,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A,2324,34,44.6,36,17973,2078,6164,8186,3837,551,17966,539,239,44.3,250,46.4,9227,50487,23205,506,358,104,567,269,9989,1048,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A,2324,34,36,13973,12159,1757,510,23,148,682,725,128,30,79,0,10114,57,309,/en/squads/0e72edf2/Hellas-Verona-Stats,ITA-Serie A
